text,date,clean_text,cluster,modified_date
@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,2009-05-29 22:52:37,ha ha want see pictures minister boobie flahses,0,2009-05-29
This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,2009-05-29 12:33:09,day pass slowly days rawr,0,2009-05-29
my car is poorly ,2009-06-02 02:43:56,car poorly,0,2009-06-02
im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,2009-04-19 06:04:37,im turning one week dont feel excited really dont know ive seen friends got excited part,2,2009-04-19
No woooooork tomorrrow&amp;tuesday ,2009-05-18 00:18:36,woooooork tomorrrowamptuesday,0,2009-05-18
Flatmates are still in the bathroom! ARGGH!! ,2009-05-22 00:15:04,flatmates still bathroom arggh,0,2009-05-22
I'm having an allergic reaction to silver earings ,2009-06-15 11:29:59,im allergic reaction silver earings,3,2009-06-15
"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",2009-06-01 21:06:49,ill admit maybe ill feel better tomorrow yo studio time,0,2009-06-01
"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",2009-06-17 19:07:16,going back sleep great idea unfortunately im already work notebookless,4,2009-06-17
what is with msn making me click the wrong people. garrrrr ,2009-06-15 14:57:09,msn making click wrong people garrrrr,0,2009-06-15
Too full of fizz but not enough cider ,2009-05-30 15:09:38,full fizz enough cider,0,2009-05-30
How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,2009-06-15 11:01:39,get ex back worked,4,2009-06-15
Time to sleep... Long day again tomorrow ,2009-06-25 00:37:45,time sleep long day tomorrow,0,2009-06-25
Hahaha blakk is reckkkin it. :p throwwwwwed. ,2009-06-15 21:53:41,hahaha blakk reckkkin p throwwwwwed,0,2009-06-15
Cubs game today! My first ever ,2009-05-31 09:37:27,cubs game today first ever,1,2009-05-31
@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,2009-06-07 05:09:02,hi sounds like youre feeling bit betterthats great great day,0,2009-06-07
@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,2009-05-10 00:31:36,lol leave kid internet kid stupid things,0,2009-05-10
eating cha with eric ,2009-06-02 23:23:28,eating cha eric,0,2009-06-02
"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",2009-06-02 21:30:06,good note meet marty richards red ball years ago sweet ill never forget,0,2009-06-02
My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,2009-06-18 07:01:32,hands officially tied dont think ill time anything anymore includes california meet,2,2009-06-18
"@Konstantine I said &quot;scar,&quot; sweetie. ",2009-05-11 21:43:17,said quotscarquot sweetie,0,2009-05-11
@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,2009-05-22 02:19:37,supposed go live tv didnt happened end would cool bbc,1,2009-05-22
FCK-Brï¿½ndby 4-0! ,2009-05-17 10:49:45,fckbrndby,0,2009-05-17
@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,2009-06-18 12:32:19,jealous im yet find local chinese im satisfied,3,2009-06-18
@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,2009-06-05 18:45:48,r us local yocals around happy find u twitter day,0,2009-06-05
"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",2009-06-06 20:16:58,back supercheap successful trip bikes tanked amp checked week ready start relaxing,4,2009-06-06
@ElleChanel want to shoot...but i'm not in charlotte .. ,2009-05-14 00:59:39,want shootbut im charlotte,3,2009-05-14
@sephrenia1982 good work ,2009-06-16 02:44:54,good work,1,2009-06-16
@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,2009-05-29 17:49:21,welcome new cd weekmaybe even tomorrow,0,2009-05-29
@CatholicChicks hate bein on the phone that long ,2009-06-23 16:46:11,hate bein phone long,0,2009-06-23
"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",2009-05-29 15:36:25,anyone wanted attend tedmed cant make date ill happily take place liveblog,0,2009-05-29
@melbgirl It means the same to us!  #GoCats,2009-05-18 03:42:25,means us gocats,0,2009-05-18
"beach this morning,bbq this afternoon. Back to school/work 2morro ",2009-05-31 11:55:25,beach morningbbq afternoon back schoolwork morro,4,2009-05-31
@joshlam and you are how old?? REALLY?!? ,2009-05-10 06:13:32,old really,0,2009-05-10
@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,2009-06-17 02:55:54,siteowner custom search box fail quotmarketquotquotenauquot nothing still targets us search quotonly australiaquot,0,2009-06-17
Watched Crank 2.... awesome ,2009-06-06 16:30:39,watched crank awesome,0,2009-06-06
@TheUncoolest ,2009-06-15 23:30:17,,0,2009-06-15
Night in with the rock star...  ,2009-06-06 21:55:04,night rock star,0,2009-06-06
@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,2009-05-30 07:02:50,dont really reason haha sounds stupid ill,2,2009-05-30
first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,2009-05-09 20:00:55,first night myers wout lydia im actually excited summer,3,2009-05-09
"my tooth is sving, and I cannot see my dentist for a week ",2009-06-23 11:31:48,tooth sving cannot see dentist week,0,2009-06-23
cant sleep got heartburn really bad ,2009-05-31 01:08:05,cant sleep got heartburn really bad,0,2009-05-31
Off to Whipsnade  Hope it's dry,2009-06-06 03:32:13,whipsnade hope dry,0,2009-06-06
Going To Bed ...My Ankle Hurts ,2009-06-16 21:44:13,going bed ankle hurts,0,2009-06-16
hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,2009-06-07 17:37:10,hates fact scanned wrong passage commentaries going use essay,0,2009-06-07
I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,2009-06-03 00:02:11,shame name female lol alright shower sleep get like hours,0,2009-06-03
"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",2009-06-03 05:00:24,fine kinders coughing lot sleep weathers good though thats main thing,0,2009-06-03
Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,2009-05-17 11:37:05,listening nutcracker says christmas thing,0,2009-05-17
"i miss him, i cant wait to see him, im happy ",2009-05-10 09:39:21,miss cant wait see im happy,3,2009-05-10
@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,2009-06-05 17:41:34,missing im missing tuesday nights,3,2009-06-05
"@mithss mourniiiiiiing eh, morniiing!!! ",2009-06-07 19:27:50,mourniiiiiiing eh morniiing,0,2009-06-07
@pamelaong Glad the blog helped ,2009-04-21 01:51:27,glad blog helped,0,2009-04-21
Awesome pumpkin! Your famous ,2009-05-16 23:30:02,awesome pumpkin famous,0,2009-05-16
"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",2009-06-06 21:58:48,sadly ive never seen single episode know im fired right,3,2009-06-06
@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,2009-05-29 01:19:53,haha oo hows long time reply,0,2009-05-29
"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",2009-04-06 22:35:40,awww good luck paula please dont work hard hope fun new album gonna amazing xxx,2,2009-04-06
Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,2009-06-16 08:34:51,seattle pride june th come support community march marriage equality contingent,0,2009-06-16
"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",2009-05-29 15:54:31,seriosuly second one quotsince im already mid class dude would work foodquot,3,2009-05-29
at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,2009-06-14 23:24:06,schoollistining die rzte westerlandgreat song reallybtw im tiredi sleeped thats bad,3,2009-06-14
I am so hungry  I hate not eating breakfast!,2009-05-18 08:07:33,hungry hate eating breakfast,0,2009-05-18
ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,2009-06-17 20:29:42,ewww work fazolis year viserand ugly shoesand pony tailand nail polish,1,2009-06-17
@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,2009-06-06 01:09:42,full win luv lt ive meaning catch ages,0,2009-06-06
Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,2009-05-30 07:55:49,oft finished relax holiday think ive missed acceptable slot lunch,0,2009-05-30
@ItsNeet 100%.. its like getting an A for all your classes.. ,2009-05-29 19:42:58,like getting classes,0,2009-05-29
"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",2009-05-18 07:09:24,hi seb im spanish fan youim addicted sp think best band worldplease come spain early,3,2009-05-18
Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,2009-05-30 12:41:07,home soccer hot today retreated coolness basement,1,2009-05-30
i have find my someone ,2009-06-01 04:49:53,find someone,0,2009-06-01
@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,2009-06-07 14:14:58,quotfugazi patrolquot amp motto quotif u see clown point em outquot please let everyone know us,4,2009-06-07
it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,2009-06-02 00:54:35,ginormous haha well feel wierd talking myy ziiiit ta ta good nightt,0,2009-06-02
I'm obsessed with twitting  haha,2009-06-07 17:59:14,im obsessed twitting haha,3,2009-06-07
One interlock down one to go ,2009-05-04 04:28:34,one interlock one go,1,2009-05-04
"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",2009-06-18 19:22:16,ughsummer colds worst esp fever top ridic humidity,0,2009-06-18
I miss Zack so much these days ,2009-06-07 14:45:03,miss zack much days,0,2009-06-07
@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,2009-06-05 20:58:42,im using asus forget one moment since dont near mebut complaints similar,2,2009-06-05
"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",2009-06-01 23:30:45,oh ive got case designed someone idiot stole prove want play hardballim game,0,2009-06-01
my thumb hurts after breaking the nail.... ,2009-05-29 01:05:16,thumb hurts breaking nail,0,2009-05-29
"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",2009-06-02 01:37:00,congrats x platinum fantastic album one favs,0,2009-06-02
"@JosephFrost Yeahh, that would be pretty awesome. ",2009-05-31 04:48:37,yeahh would pretty awesome,0,2009-05-31
@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,2009-05-18 05:11:04,think work discovery channel bc would media sharks,1,2009-05-18
"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",2009-04-19 06:32:32,home mums house lol hm maddens could plan actually stone cold broke atm tho even sure could afford door fee,0,2009-04-19
@MandyyJirouxx that page doesn't exist ,2009-06-18 16:12:13,page doesnt exist,0,2009-06-18
fighting a cold. ,2009-05-29 16:48:18,fighting cold,0,2009-05-29
@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,2009-06-06 14:32:59,aw im jealous miss home wish could home cg right watching spanish tv gparents,3,2009-06-06
@aleshacal my phone is dying  no charger here!,2009-06-06 21:26:57,phone dying charger,0,2009-06-06
@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,2009-05-03 08:15:50,green day new cd th th woo,0,2009-05-03
my tv always freezes while i'm watching inbetweeners ,2009-06-05 17:20:38,tv always freezes im watching inbetweeners,3,2009-06-05
@softjunebreeze Ex-factor.... Me too ,2009-05-17 23:09:44,exfactor,0,2009-05-17
 Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,2009-04-19 08:34:08,back school mondaywell get ipod touch see yah tomorrow guess,4,2009-04-19
@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,2009-06-17 16:24:30,missed catch sunday ohh ye fancy ldn sunday xoxo,0,2009-06-17
tried to check out your site @poeticmindset ... not working ,2009-06-15 16:58:43,tried check site working,0,2009-06-15
Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,2009-06-04 22:35:04,watching wayne dyers new program pbs quotexcuses begonequot lower mainlanders check ch shaw peace,0,2009-06-04
pimples attack! Arghhhhhhhhh ,2009-06-07 21:02:16,pimples attack arghhhhhhhhh,0,2009-06-07
"has to pack, stillll. and doesn't want to.. ",2009-06-20 20:32:07,pack stillll doesnt want,0,2009-06-20
@snikkins How dare you get some before I have a chance to. You're no longer my friend ,2009-06-06 18:54:23,dare get chance youre longer friend,0,2009-06-06
"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",2009-05-29 10:54:56,cant stop listening clips new album lines vines trying times amazing cant wait whole thing,0,2009-05-29
about to pour in orlando ,2009-06-18 11:59:03,pour orlando,0,2009-06-18
"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",2009-05-30 05:17:50,know dont think air cable channels anymore download net,2,2009-05-30
@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,2009-06-07 17:53:02,check website idea product u want try sent u email tomorrow,0,2009-06-07
@annieomnious    can it be fixed?  can we make a new simple one mayb?,2009-06-15 14:05:40,fixed make new simple one mayb,0,2009-06-15
blÃ¤Ã¤ i have a headache ,2009-06-15 15:55:35,bl headache,0,2009-06-15
Has just joined Twitter.. It better be good! ,2009-06-02 22:26:54,joined twitter better good,0,2009-06-02
Where in Singapore do they sell Dujour? ,2009-06-07 10:19:20,singapore sell dujour,0,2009-06-07
"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",2009-06-16 12:28:43,iranelection quotyellow pressquot alive well st century quickly forget uss maine,0,2009-06-16
haven't been on all day  went to bed late last night!,2009-06-15 22:27:48,havent day went bed late last night,0,2009-06-15
"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",2009-06-07 09:39:23,wheres rain supposed today complaining tho lovely amp bright happy making,1,2009-06-07
"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",2009-05-14 03:27:13,thank took two minutes thankfully style envirowisegovuk already taking,0,2009-05-14
ps: i think twitter sucks if you dont have free unlimited texts. ,2009-05-17 23:15:06,ps think twitter sucks dont free unlimited texts,2,2009-05-17
"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",2009-06-15 08:48:42,ha sounds wrong stacy lmao love take one ill think haha youtube,0,2009-06-15
@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late,2009-06-03 05:10:09,really ok u try em u see works doesnt time late,0,2009-06-03
Who else misses Parade the day incredibly much.. ,2009-06-21 07:19:34,else misses parade day incredibly much,0,2009-06-21
I was caller number one. ,2009-06-03 07:31:07,caller number one,0,2009-06-03
@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,2009-06-01 22:23:18,ditto goodnight amp rest well go play lottery bought ticket n fl last week luck,4,2009-06-01
"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",2009-06-01 23:50:48,mornin every hope well im worlds im sure im work mornin guess bad,3,2009-06-01
should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,2009-06-03 06:42:31,going wants stay put participate experiment might txt photo part,0,2009-06-03
"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",2009-04-19 23:02:39,take criticism blame without resentment youre probably family dog see cheers louann,0,2009-04-19
"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",2009-05-04 06:22:24,sorry know im late responding hrs timezone troubles think would need load audacity compy,3,2009-05-04
History exam today and dreading it ,2009-06-01 23:59:30,history exam today dreading,1,2009-06-01
After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,2009-06-16 19:28:23,seeing mr benningfield tonight really made start miss vand family like hxc love band geeks lt,0,2009-06-16
Just downloaded a new Twitter app for my phone. So much better already. ,2009-06-07 01:33:35,downloaded new twitter app phone much better already,0,2009-06-07
I seem to be making a habbit out of not falling asleep until very late ,2009-06-07 09:02:01,seem making habbit falling asleep late,0,2009-06-07
There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,2009-06-04 11:23:45,steady stream polling station mostly old folks surely wouldnt vote fascists people stupid,0,2009-06-04
Missionaries had passport problems. Still havn't arrived  ya'll pray!,2009-06-20 18:08:50,missionaries passport problems still havnt arrived yall pray,0,2009-06-20
had a very good night ,2009-05-02 23:39:51,good night,0,2009-05-02
"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",2009-05-31 11:03:41,enjoying morning hanging juliet victoria doesnt know yet im taking see il divo tonight fb,3,2009-05-31
Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,2009-05-03 04:06:50,miss bikini philippines pageant thanks ticket,0,2009-05-03
i'm going global .. ,2009-06-07 05:56:58,im going global,3,2009-06-07
They are gone .. ,2009-06-06 12:53:31,gone,0,2009-06-06
Friends with scott again ,2009-05-22 04:18:16,friends scott,0,2009-05-22
I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,2009-05-29 14:22:19,think lovely brother take lovely sister old town dinn dinn amp margaritas,4,2009-05-29
Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,2009-06-04 08:50:08,roast cooker cakes oven soon good morning hope everyone well today,1,2009-06-04
Wooo I picked my sister and I miss the empty house. ,2009-06-19 16:11:47,wooo picked sister miss empty house,0,2009-06-19
@aleahhh season is almost done with babe ,2009-04-18 15:45:29,season almost done babe,0,2009-04-18
off to work    byeee xox,2009-06-06 22:33:37,work byeee xox,1,2009-06-06
@alexandramusic Diversity won! damnn i wanted flawless to win ,2009-05-30 13:57:15,diversity damnn wanted flawless win,0,2009-05-30
printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. ,2009-06-19 23:23:39,printin stuff aunt dont ask late forgot earlier,2,2009-06-19
 can some one pleease tell me how to work out the total surface area of a square pyramid? ,2009-05-03 00:03:03,one pleease tell work total surface area square pyramid,1,2009-05-03
@DENISE_RICHARDS love your hair  dont ever cut ur locks ,2009-06-15 20:51:04,love hair dont ever cut ur locks,2,2009-06-15
@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,2009-05-30 02:57:26,phew hate think colin fallen glad hes smiling hip hip hip hooray,0,2009-05-30
@Dee_Dee_3 high low ,2009-06-01 08:32:57,high low,0,2009-06-01
"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx",2009-06-15 13:17:33,motivation came yay finished yet well way gonna go finish xx,1,2009-06-15
Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin ,2009-05-22 05:26:16,still cant get jonas bros ticketsdreading facing niece later see tantrum hope put another gig dublin,0,2009-05-22
"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not ",2009-05-29 10:00:12,though clothes aw collection designers together visual arts,0,2009-05-29
On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,2009-06-07 18:00:54,schedule soft launch tomorrow evening already first customer lost cat,0,2009-06-07
&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; ,2009-06-02 04:37:35,quotthank lord reminding see way see mequot,0,2009-06-02
@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old ,2009-06-07 07:50:01,looking old poster busted day really short hair everythng young ta old,0,2009-06-07
"Ugh, so bored today! ",2009-06-20 09:23:40,ugh bored today,1,2009-06-20
home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? ,2009-06-06 19:54:45,home long day work wore heels pm must crazy came right home soak feets lol wana rub em,1,2009-06-06
Still at work  This entire week has felt like an extremely long and awful Monday!,2009-06-20 07:06:51,still work entire week felt like extremely long awful monday,1,2009-06-20
Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,2009-06-18 06:42:26,upgraded iphone seem weaker link tamu wireless,0,2009-06-18
morning twitterland...off to work i go ,2009-06-02 03:01:26,morning twitterlandoff work go,1,2009-06-02
@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,2009-05-30 10:54:29,im plantaholic spent several thousand last years planting brothers lake cabin sold,3,2009-05-30
Trying to learn some &quot;PHOTOGRAPHY&quot; ,2009-05-14 02:27:16,trying learn quotphotographyquot,0,2009-05-14
@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,2009-05-29 19:55:25,ill sure vote competition star name would go well idol trophy,1,2009-05-29
already miss baby donkey ,2009-06-07 03:53:27,already miss baby donkey,0,2009-06-07
@kpsomotragos I have it on good authority that we'll be getting it around 3am. ,2009-06-17 05:53:33,good authority well getting around,0,2009-06-17
Just heard gun shots in my neighborhood!!! ,2009-06-22 16:06:16,heard gun shots neighborhood,0,2009-06-22
Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along ,2009-05-29 01:24:58,watched hella home movies aunt uncle miss days whole family got along,0,2009-05-29
I am sooo tired!! My eyes literally can't stay open ,2009-06-20 15:10:31,sooo tired eyes literally cant stay open,0,2009-06-20
I hate word challenge on facebook! ,2009-05-18 00:08:01,hate word challenge facebook,0,2009-05-18
is sad she couldn't go out with her girls tonight  It's been too long....,2009-05-30 22:51:18,sad couldnt go girls tonight long,1,2009-05-30
PACKING SUCKS! i miss my Lee ,2009-06-18 20:18:00,packing sucks miss lee,0,2009-06-18
O how i love you sammoons  o how i do. ,2009-06-01 17:01:58,love sammoons,0,2009-06-01
"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. ",2009-06-05 13:53:56,wants free doughnut krispy kremes expensive million times better doughnuts,0,2009-06-05
new phone  tattoo on monday! Woo.. just had tea. yummy.,2009-06-06 11:59:52,new phone tattoo monday woo tea yummy,0,2009-06-06
waiting for my hoe to come back ,2009-06-07 16:29:42,waiting hoe come back,4,2009-06-07
"i just cried a lot  im so over that all , and i cant hear it anymore...",2009-06-02 04:54:55,cried lot im cant hear anymore,3,2009-06-02
Trying to get on facebook!!! ,2009-06-05 19:47:23,trying get facebook,0,2009-06-05
I want to post lol cats on here but I can't ,2009-06-25 07:49:40,want post lol cats cant,0,2009-06-25
@RobbieTaylor I have no comment about who won the game until this replay is completed. ,2009-06-15 20:39:08,comment game replay completed,0,2009-06-15
Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,2009-04-18 20:31:57,thank everyone seriously lucky guy great lovely friends lets keep touch chuckisherecom lax,0,2009-04-18
friday gimmick in the office  but always looking forward for the weekend!,2009-05-22 05:09:53,friday gimmick office always looking forward weekend,0,2009-05-22
TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas ,2009-06-15 07:52:01,talk meeting tonight tampa chamber pm guest speaker word mouth marketing happy hour tinatapas,0,2009-06-15
successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! ,2009-05-29 12:29:40,successfully obtained visa entries enter stay royal kingdom thailand,0,2009-05-29
Downtown Disney ,2009-06-15 14:08:57,downtown disney,0,2009-06-15
missing my mom ,2009-05-03 19:21:26,missing mom,0,2009-05-03
A little sad  pretty bad news and feel too much insecure about my playing.,2009-06-05 15:47:36,little sad pretty bad news feel much insecure playing,0,2009-06-05
